year,make,model,fuel,variant,costPerKm
2026,ALFA ROMEO,GIULIA 2.0 TURBO Q4 VELOCE 280CV AWD,Benzina,23383,0.9011
2026,ALFA ROMEO,STELVIO 2.0 T 280CV,Benzina,23461,0.9240
2026,ALPINE,A110 1.8 250CV,Benzina,29925,0.8537
2026,ALPINE,A110 1.8 300CV,Benzina,29926,0.9864
2026,AUDI,A1 ALLSTREET 30 TFSI 1.0 116 CV,Benzina,31398,0.5397
2026,AUDI,A1 ALLSTREET 35 TFSI S-TRONIC 1.5 150CV,Benzina,30049,0.6133
2026,AUDI,A1 SPB 30 1.0 116CV,Benzina,31206,0.5181
2026,AUDI,A1 SPB 35 1.5 TFSI S-TRONIC 150CV,Benzina,27949,0.5830
2026,AUDI,A3 SPB TFSI 1.5 116CV  MOD 2025,Benzina,31412,0.5597
2026,AUDI,A3 SPB TFSI 2.0 204CV MOD 2025,Benzina,31413,0.7232
2026,AUDI,A5 2025 2.0 TFSI QUATTRO 204CV,Benzina,31198,0.8029
2026,AUDI,A5 2025 2.0 TFSI S TRONIC 150CV,Benzina,31196,0.7158
2026,AUDI,A5 2025 2.0 TFSI S TRONIC 204CV,Benzina,31197,0.7704
2026,AUDI,Q2 30 TFSI 1.0 116CV,Benzina,31219,0.5419
2026,AUDI,Q2 35 1.5 TFSI 150CV,Benzina,28052,0.5734
2026,AUDI,Q2 35 1.5 TFSI S-TRONIC 150CV,Benzina,28068,0.5834
2026,AUDI,Q2 40 2.0 TFSI QUATTRO S TRONIC 190CV,Benzina,31220,0.7087
2026,AUDI,Q3 2.0 TFSI QUATTRO 204CV  MOD 2025,Benzina,31490,0.7564
2026,AUDI,S3 SPB 2.0 TFSI 333 CV QUATTRO S-TRONIC,Benzina,30855,0.8443
2026,AUDI,SQ2 2.0 TFSI QUATTRO S-TRONIC 300CV,Benzina,31222,0.8453
2026,BMW,116 1.5 122CV MOD 2024,Benzina,31064,0.6043
2026,BMW,216I 1.5 122CV ACTIVE TOURER,Benzina,30246,0.6227
2026,BMW,218I 2022 1.5 136CV ACTIVE TOURER,Benzina,29870,0.6295
2026,BMW,318I 2.0 156CV MY2023,Benzina,30720,0.7091
2026,BMW,320I 2.0 184CV MY2023,Benzina,30721,0.7555
2026,BMW,320I 2.0 184CV XDRIVE MY2023,Benzina,30722,0.8129
2026,BMW,330I 2.0 245CV XDRIVE MY2023,Benzina,30723,0.8465
2026,BMW,420I COUPÉ 2.0 184CV,Benzina,29019,0.7768
2026,BMW,M 135 XDRIVE 2.0 300CV  MOD 2024,Benzina,30882,0.8330
2026,BMW,M3 3.0 480CV MY2023,Benzina,30726,1.3073
2026,BMW,M3 3.0 XDRIVE COMPETITION 530CV,Benzina,30305,1.4087
2026,BMW,M3 COMPETITION 3.0 510CV,Benzina,30529,1.3646
2026,BMW,X1 2022 SDRIVE 18I 1.5 136CV,Benzina,30117,0.6233
2026,BMW,X1 M35I XDRIVE 300CV  MOD 2024,Benzina,31171,0.8737
2026,BMW,Z4 M40I 3.0 340CV MY2023,Benzina,30729,1.0026
2026,BMW,Z4 SDRIVE 20I 2.0 197CV MY2023,Benzina,30728,0.7908
2026,CIRELLI MOTOR,CIRELLI 1 1.5T 109CV,Benzina,31145,0.4721
2026,CIRELLI MOTOR,CIRELLI 3 1.5T 139 CV  MOD 2025,Benzina,31402,0.5358
2026,CIRELLI MOTOR,CIRELLI 4 1.5T 177CV,Benzina,30810,0.6003
2026,CIRELLI MOTOR,CIRELLI 5 1.5 T 177 CV  MOD 2024,Benzina,31404,0.6058
2026,CIRELLI MOTOR,CIRELLI 6 1.5T 139CV  MOD 2025,Benzina,31485,0.5305
2026,CIRELLI MOTOR,CIRELLI 7 1.5T 177CV,Benzina,31149,0.6041
2026,CIRELLI MOTOR,CIRELLI SPORT COUPÉ 1.5T 137CV,Benzina,30812,0.6153
2026,CITROEN,C3 1.2 100 CV MOD 2024,Benzina,30856,0.4208
2026,CITROEN,C3 AIRCROSS 1.2 PURETECH 100 CV  MOD 2024,Benzina,30936,0.4495
2026,CITROEN,C4 2020 1.2 PURETECH AUT 130CV,Benzina,29307,0.5327
2026,CITROEN,C4 X PURETECH 130 131CV  MOD 2025,Benzina,31259,0.5026
2026,CUPRA,ATECA 1.5 TSI 150CV,Benzina,30435,0.6335
2026,CUPRA,ATECA 2.0 TSI 4DRIVE 300CV,Benzina,28836,0.8414
